ts_s,frame,hand,joint_id,joint_name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,radius
0.043921,0,left,1,WristFallback,0.028865,1.160303,-0.004905,-0.290929,-0.058205,-0.017310,0.954816,0.0300
0.043921,0,right,1,WristFallback,0.115364,0.932764,-0.106830,-0.564660,-0.260286,-0.197429,0.757913,0.0300
0.068310,1,left,1,WristFallback,0.028870,1.160309,-0.004906,-0.290862,-0.058265,-0.017245,0.954834,0.0300
0.068310,1,right,1,WristFallback,0.122388,0.928302,-0.101105,-0.542143,-0.257572,-0.230152,0.766008,0.0300
0.090340,2,left,1,WristFallback,0.028860,1.160303,-0.004904,-0.290931,-0.058168,-0.017300,0.954818,0.0300
0.090340,2,right,1,WristFallback,0.124007,0.926995,-0.100019,-0.539489,-0.252371,-0.228313,0.770152,0.0300
0.112706,3,left,1,WristFallback,0.028870,1.160303,-0.004906,-0.290929,-0.058242,-0.017322,0.954813,0.0300
0.112706,3,right,1,WristFallback,0.124438,0.926317,-0.098901,-0.534238,-0.242619,-0.215833,0.780476,0.0300
0.135019,4,left,1,WristFallback,0.028875,1.160298,-0.004907,-0.290965,-0.058280,-0.017336,0.954800,0.0300
0.135019,4,right,1,WristFallback,0.124657,0.925070,-0.097465,-0.530887,-0.235025,-0.207890,0.787213,0.0300
0.157109,5,left,1,WristFallback,0.028875,1.160301,-0.004907,-0.290932,-0.058289,-0.017297,0.954810,0.0300
0.157109,5,right,1,WristFallback,0.125688,0.923778,-0.095562,-0.524427,-0.239825,-0.208279,0.789987,0.0300
0.179492,6,left,1,WristFallback,0.028870,1.160301,-0.004906,-0.290932,-0.058253,-0.017285,0.954812,0.0300
0.179492,6,right,1,WristFallback,0.127033,0.922761,-0.093771,-0.514778,-0.245735,-0.211482,0.793659,0.0300
0.201788,7,left,1,WristFallback,0.028865,1.160303,-0.004905,-0.290899,-0.058240,-0.017196,0.954825,0.0300
0.201788,7,right,1,WristFallback,0.127709,0.922262,-0.093316,-0.510573,-0.243964,-0.206206,0.798296,0.0300
0.225496,8,left,1,WristFallback,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.0300
0.225496,8,right,1,WristFallback,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.0300
0.245330,9,left,1,WristFallback,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.0300
0.245330,9,right,1,WristFallback,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.0300
0.267470,10,left,1,WristFallback,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.0300
0.267470,10,right,1,WristFallback,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.0300
0.290031,11,left,1,WristFallback,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.0300
0.290031,11,right,1,WristFallback,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.0300
0.312129,12,left,1,WristFallback,0.028865,1.160305,-0.004905,-0.290918,-0.058207,-0.017316,0.954819,0.0300
0.312129,12,right,1,WristFallback,0.127636,0.922280,-0.093216,-0.509548,-0.241288,-0.198736,0.801652,0.0300
